,name,indeed_company_link,rating,reviews-tab,salaries-tab,jobs-tab,qna-tab,Work Happiness Score,Compensation,Achievement,CEO,Approved,Founded,Company size,Revenue,Industry,Link,Satisfaction,photos-tab,Learning,Appreciation,Flexibility,Purpose,Support,Inclusion,Stress-free
0,Netflix,https://www.indeed.com/cmp/Netflix,3.9,682.0,2000.0,223.0,76.0,70.0,80.0,75.0,Reed Hastings,86.0,1997.0,5001.0,10000000000.0,Media & Communication,http://www.netflix.com,,,,,,,,,
1,Sticker Mule,https://www.indeed.com/cmp/Sticker-Mule,3.4,45.0,82.0,6.0,31.0,59.0,75.0,,,,,,,,,66.0,,,,,,,,
2,Microsoft,https://www.indeed.com/cmp/Microsoft,4.2,7400.0,41500.0,6700.0,151.0,80.0,,,Satya Nadella,91.0,1975.0,10001.0,10000000000.0,Information Technology,http://www.microsoft.com/,,40.0,83.0,82.0,,,,,
3,Tinder,https://www.indeed.com/cmp/Tinder,4.5,6.0,14.0,60.0,2.0,,,,Renate Nyborg,,,,,,,,,,,,,,,
4,Cigna,https://www.indeed.com/cmp/Cigna,3.7,4700.0,3900.0,860.0,286.0,60.0,,,David Cordani,79.0,1865.0,10001.0,10000000000.0,Insurance,http://www.cigna.com/,,11.0,68.0,,70.0,,,,
5,Amazon.com Services LLC,https://www.indeed.com/cmp/Amazon.com,3.5,80100.0,3700.0,57300.0,9700.0,59.0,,67.0,Andrew Jassy,51.0,1994.0,10001.0,10000000000.0,Information Technology,https://www.amazon.jobs,,149.0,,,,66.0,,,
6,Github,https://www.indeed.com/cmp/Github,4.2,14.0,8.0,206.0,5.0,,,,,,,,,,,,,,,,,,,
7,Tesla,https://www.indeed.com/cmp/Tesla,3.4,5000.0,7800.0,2200.0,671.0,59.0,,69.0,Elon Musk,76.0,2003.0,10001.0,5000000000.0,Manufacturing,https://www.tesla.com,,43.0,68.0,,,,,,
8,Hulu,https://www.indeed.com/cmp/Hulu,3.8,135.0,1100.0,178.0,46.0,61.0,,,Kelly Campbell,,,,,,,,1.0,,68.0,,,71.0,,
9,Pinterest,https://www.indeed.com/cmp/Pinterest,4.2,28.0,1200.0,221.0,9.0,,,,Ben Silbermann,94.0,2010.0,-999999.0,100000000.0,Information Technology,http://www.pinterest.com,,5.0,,,,,,,
10,GigaTECH,,,,,,,,,,,,,,,,,,,,,,,,,
11,Federal Signal Corporation,https://www.indeed.com/cmp/Federal-Signal-Corporation,3.4,102.0,44.0,159.0,18.0,53.0,,63.0,,,,,,,,,,,60.0,,,,,
12,Adobe,https://www.indeed.com/cmp/Adobe,4.3,715.0,5000.0,920.0,39.0,76.0,,,Shantanu Narayen,91.0,1982.0,10001.0,5000000000.0,Information Technology,http://www.adobe.com,,15.0,,81.0,84.0,,,,
13,Impel,https://www.indeed.com/cmp/Impel-cc4d4aef,3.5,4.0,5.0,17.0,3.0,,,,,,,,,,,,,,,,,,,
