,title,company,rating,location,salary,job_type,summary,link
0,Junior Data Scientist Apprentice,IBM,3.9,"New York, NY 10001 (Chelsea area)",Nan,Full-time,"You will apply the scientific method to business scenarios, clean and prepare data for statistical and machine learning modeling, work with a variety of…",https://www.indeed.com/rc/clk?jk=29591abb28f36331&fccid=de71a49b535e21cb&vjs=3
1,newJunior Data Scientist - 100% Remote,Piper Companies,4.5,Remote,105600,Contract,"Keywords: Data, data science, data scientist, entry level, junior, business intelligence, tableau, power bi, microstrategy, relational modelling, dimensional…",https://www.indeed.com/rc/clk?jk=f0520a69da741e82&fccid=fc68da685e8aa986&vjs=3
2,newData Scientist,Madison Logic,3.5,+1 locationRemote,110000,Full-time,"Apply your math, optimization, machine learning and AI skills to solve business challenges.
Keep up to date on trends, tools and research.",https://www.indeed.com/rc/clk?jk=748e50f4b4e21f9d&fccid=b812544c2237ac63&vjs=3
3,Data Scientist,Trustpage,Nan,Remote,110000,Nan,"Experience with common Python packages used for data manipulation, data visualization, natural language processing, and machine learning (e.g., scikit-learn,…",https://www.indeed.com/rc/clk?jk=f4b942820cc9f449&fccid=387a6be1db3f9142&vjs=3
4,Junior Data Scientist,ClimateAI,Nan,"Remote in San Francisco Bay Area, CA",Nan,Nan,Develop data science algorithms for climate analytics; work in collaboration with our software engineering team to integrate the algorithms into our product.,https://www.indeed.com/rc/clk?jk=208e4a8da03909d7&fccid=90364bdd6d185b45&vjs=3
5,newData Scientist,Audible,4.1,"Newark, NJ",Nan,Full-time,"Work closely with other data scientists, ML experts, engineers as well as business across globe, and on cross-disciplinary efforts with other scientists within…",https://www.indeed.com/rc/clk?jk=4e6ddce09b043fa9&fccid=3e9b269328805689&vjs=3
6,Graduate Data Scientist - Role Can be Remote,MARS,3.8,"Remote in Franklin, TN+5 locations",Nan,Full-time,"Build understanding of the Mars Petcare data ecosystem and analytics platforms.
Develop and gather project insights.
Code peer review and QA notebooks.",https://www.indeed.com/rc/clk?jk=8a678b2c47705937&fccid=6f49e88f14c18b75&vjs=3
7,newData Scientist,Adobe,4.3,"San Francisco, CA+10 locations",Nan,Full-time,You will need to find innovative approaches for evaluating the digital strategies of the world’s largest brands through analysis of their digital performance…,https://www.indeed.com/rc/clk?jk=31b7aaaebbcad186&fccid=f89deb5a97c7738a&vjs=3
8,newData Scientist II - Loyalty,Levi Strauss & Co.,3.9,+4 locationsRemote,Nan,Full-time,2 – 5 years of professional experience developing and deploying machine learning models and algorithms of progressing complexity and demonstrated business…,https://www.indeed.com/rc/clk?jk=ce3125e0dda57a3b&fccid=dc023faa36b88bf2&vjs=3
9,REMOTE - Data Scientist,Labcorp,3.4,"Remote in Westborough, MA+1 location",Nan,Full-time,"Use analytical and statistical methods to analyze large amounts of data, extracting actionable insights using advanced techniques such as data analysis, data…",https://www.indeed.com/rc/clk?jk=501ebc0e4abf9a56&fccid=a3163e1f583839d0&vjs=3
10,newData Scientist,Avenue Code,4.4,Remote,Nan,Nan,"Hands-on industry experience in leveraging data science (including ML) and analytics to solve.
We are looking for a passionate, talented, and innovative Data…",https://www.indeed.com/rc/clk?jk=4723b2f77a1d6794&fccid=c267202434f82771&vjs=3
11,newOMMA Data Scientist,State Department of Health,3.9,"Oklahoma City, OK",65000,Full-time,"Data analytics, data visualizations, data cleaning, and data wrangling procedures will be used to enrich program decision making.
Full or Part Time Full-Time.",https://www.indeed.com/rc/clk?jk=2d987bf93ec80664&fccid=d28c639f3cbc9130&vjs=3
