,title,company,rating,location,salary,job_type,summary,link
0,Junior Data Scientist Apprentice,IBM,3.9,"New York, NY 10001 (Chelsea area)",Nan,Full-time,"You will apply the scientific method to business scenarios, clean and prepare data for statistical and machine learning modeling, work with a variety of…",https://www.indeed.com/rc/clk?jk=29591abb28f36331&fccid=de71a49b535e21cb&vjs=3
1,Data Scientist,Nike,4.1,"Beaverton, OR+17 locations","$117,000 a year","$117,000 a year","You will report to the Director of Data Science while partnering on daily basis with the fellow data scientists, data analysts, engineers and product owner on…",https://www.indeed.com/rc/clk?jk=babbbe166340ad02&fccid=2c62e4de04b8f952&vjs=3
2,newJunior Data Scientist - 100% Remote,Piper Companies,4.5,Remote,$50 - $60 an hour,$50 - $60 an hour,"Keywords: Data, data science, data scientist, entry level, junior, business intelligence, tableau, power bi, microstrategy, relational modelling, dimensional…",https://www.indeed.com/rc/clk?jk=f0520a69da741e82&fccid=fc68da685e8aa986&vjs=3
3,Data Scientist,Trustpage,Nan,Remote,"$110,000 - $130,000 a year","$110,000 - $130,000 a year","Experience with common Python packages used for data manipulation, data visualization, natural language processing, and machine learning (e.g., scikit-learn,…",https://www.indeed.com/rc/clk?jk=f4b942820cc9f449&fccid=387a6be1db3f9142&vjs=3
4,newData Scientist,Audible,4.1,"Newark, NJ",Nan,Full-time,"Work closely with other data scientists, ML experts, engineers as well as business across globe, and on cross-disciplinary efforts with other scientists within…",https://www.indeed.com/rc/clk?jk=4e6ddce09b043fa9&fccid=3e9b269328805689&vjs=3
5,"newAssociate Data Scientist, Supply Chain (Remote)",Home Depot / THD,3.7,"Remote in Atlanta, GA+18 locations","$61,000 - $115,680 a year","$61,000 - $115,680 a year",This role works closely with Data Scientists and/or Sr. Data Scientists in their team to develop solutions by applying advanced analytics methods and algorithms…,https://www.indeed.com/rc/clk?jk=6deecbe8a1c06d64&fccid=82e58e9861d48566&vjs=3
6,Junior Data Scientist,ClimateAI,Nan,"Remote in San Francisco Bay Area, CA",Nan,Nan,Develop data science algorithms for climate analytics; work in collaboration with our software engineering team to integrate the algorithms into our product.,https://www.indeed.com/rc/clk?jk=208e4a8da03909d7&fccid=90364bdd6d185b45&vjs=3
7,newData Scientist,Atlantic Health System,3.7,"Morristown, NJ",Nan,Full-time,Use advanced analytics and machine learning to solve business problems and find patterns and insights within structured and unstructured healthcare data.,https://www.indeed.com/rc/clk?jk=04813d07f9fce7c3&fccid=8bb305d9b8697c1d&vjs=3
8,newData Scientist (remote),Paramount,3.5,"Remote in New York, NY",Nan,Full-time,"Them into data science / data engineering design specs.
Collaborate with data engineers to design and integrate new data sources.",https://www.indeed.com/rc/clk?jk=bd26541603ec1448&fccid=4f8daa48ef966ab5&vjs=3
9,newData Scientist,Equifax,3.5,"Atlanta, GA 30309 (Midtown area)",Nan,Full-time,"0-5 years of experience as a data scientist or statistical analyst.
Perform extensive data mining and consumer behavior modeling utilizing programming languages…",https://www.indeed.com/rc/clk?jk=33561c6ddd017fdf&fccid=34c446722f3cf576&vjs=3
10,newData Scientist,Adobe,4.3,"San Francisco, CA+10 locations",Nan,Full-time,You will need to find innovative approaches for evaluating the digital strategies of the world’s largest brands through analysis of their digital performance…,https://www.indeed.com/rc/clk?jk=31b7aaaebbcad186&fccid=f89deb5a97c7738a&vjs=3
11,newFully Remote Data Scientist,Piper Companies,4.5,+3 locationsRemote,$50 - $53 an hour,$50 - $53 an hour,"Working experience in data manipulation and advanced data analysis.
Banking analytics/modeling experience is preferred: CCAR/CCEL Modeling, Fraud Detection, AML…",https://www.indeed.com/rc/clk?jk=11c4339fd4228154&fccid=fc68da685e8aa986&vjs=3
12,Data Scientist,The J. M. Smucker Company,3.7,+1 locationRemote,Nan,Full-time,"As a Data Scientist, you will be responsible for collaborating with business stakeholders, Data Scientists, and Data Engineers and solving business problems by…",https://www.indeed.com/rc/clk?jk=5b5da1c5fb5769a9&fccid=a21694cd29ba9002&vjs=3
13,REMOTE - Data Scientist,Labcorp,3.4,"Remote in Westborough, MA+1 location",Nan,Full-time,"Use analytical and statistical methods to analyze large amounts of data, extracting actionable insights using advanced techniques such as data analysis, data…",https://www.indeed.com/rc/clk?jk=501ebc0e4abf9a56&fccid=a3163e1f583839d0&vjs=3
14,Data Scientist - Analytics,Acorn Analytics,Nan,+1 locationRemote,$50 an hour,$50 an hour,"Acorn provides valuable and actionable insights into organizations' raw data.
Comfortable in python, proficient with pandas, matplotlib, performing exploratory…",https://www.indeed.com/rc/clk?jk=ab21c93fcc0e9d95&fccid=9993304a3df214bf&vjs=3
