,title,company,location,salary,job_type,summary,link_job,company_link
0,newSoftware Engineer I/II,Microsoft,"Redmond, WA 98052 (Overlake area)+126 locations",,Full-time,"You will have opportunities to work on multiple layers of the technology stack, ranging from customer-focused user experience work, building scalable…",https://www.indeed.com/rc/clk?jk=70877226efe9d948&fccid=734cb5a01ee60f80&vjs=3,https://www.indeed.com/cmp/Microsoft
1,Jr. Software Dev Engineer,Amazon.com Services LLC,"Detroit, MI+4 locations",,Part-time +2,We give our interns responsibilities and roles which will prepare them to enter the workforce after graduation with “real world” software programming experience…,https://www.indeed.com/rc/clk?jk=c89b76246e16cb07&fccid=fe2d21eef233e94a&vjs=3,https://www.indeed.com/cmp/Amazon.com
2,Software Engineer-Work from home-eviCore,Cigna,"Remote in Hartford, CT 06152+11 locations",95900.0,Full-time,"Together, with colleagues around the world, we aspire to transform health services, making them more affordable and accessible to millions.",https://www.indeed.com/rc/clk?jk=f5144503a6d3283b&fccid=afbf8c270610a38a&vjs=3,https://www.indeed.com/cmp/Cigna
3,newSenior Software Engineer,Netflix,+18 locationsRemote,,,"As part of our day-to-day work, we collaborate with UI engineering and product teams, peer platform engineering groups, and data experts to deliver video…",https://www.indeed.com/rc/clk?jk=fd98912700c0ce5c&fccid=66403b30a2c0d89c&vjs=3,https://www.indeed.com/cmp/Netflix
4,Software engineer,Sticker Mule,Remote,99000.0,,"Our software team operates from 17 countries, and we're always looking for more exceptional engineers.
We are privately-owned, profitable, and powered by a…",https://www.indeed.com/rc/clk?jk=1756e7b0298d0eb8&fccid=8363d1ab1997f5d7&vjs=3,https://www.indeed.com/cmp/Sticker-Mule
5,Software Engineer - Web,Microsoft,"Redmond, WA 98052 (Overlake area)+67 locations",,Full-time,We started with a mission of empowering every voice in the classroom and now we have a much larger vision: to make learning fun and empowering for everyone.,https://www.indeed.com/rc/clk?jk=fd8d4d5e83b2a776&fccid=734cb5a01ee60f80&vjs=3,https://www.indeed.com/cmp/Microsoft
6,Software Engineering: Full time opportunities for Graduates,Github,+19 locationsRemote,62000.0,Full-time,"We enable every member on every team to do their best work, and we'll partner to do the same for you.
You are a self-driven, goal-oriented student with a…",https://www.indeed.com/rc/clk?jk=c7a695ba3e0a1544&fccid=c594c442f5397e7b&vjs=3,https://www.indeed.com/cmp/Github
7,"newSenior Software Engineer, Web Development",Tinder,"Remote in Los Angeles, CA+6 locations",,,"With tens of millions of users, hundreds of millions of downloads, 2 billion swipes per day, 20 million matches per day and a presence in every country on earth…",https://www.indeed.com/rc/clk?jk=8338c74041016e4e&fccid=12c109dc261fc3cb&vjs=3,https://www.indeed.com/cmp/Tinder
8,Software Development Engineer in Test,Hulu,"Santa Monica, CA 90404+1 location",,Full-time,"You will set up and enhance test automation frameworks and engineer efficient, scalable, and maintainable test infrastructure.",https://www.indeed.com/rc/clk?jk=c3cce2281e1035ab&fccid=6824fc1f087bd63e&vjs=3,https://www.indeed.com/cmp/Hulu
9,University Grad Software Engineer (USA),Pinterest,"Seattle, WA 98101 (Denny Triangle area)+14 locations",,Internship,"Millions of people across the world come to Pinterest to find new ideas every day.
Experience in previous software engineering internships.",https://www.indeed.com/rc/clk?jk=cf0a5ae07b40afcc&fccid=43014b1412e0a7b6&vjs=3,https://www.indeed.com/cmp/Pinterest
10,"newSoftware Engineer, Apple Pay Partner Engineering",Apple,"Raleigh, NC 27612 (Northwest Raleigh area)+126 locations",,,"You will teach, demonstrate, instruct, and problem solve very technical paths including complex RESTful message sequences and encryption flows.",https://www.indeed.com/rc/clk?jk=3701369a6eed0004&fccid=c1099851e9794854&vjs=3,https://www.indeed.com/cmp/Apple
11,newEntry Level Software Engineer,BOEING,"Kent, WA 98032+65 locations",,,"We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth.",https://www.indeed.com/rc/clk?jk=21a89d4b7c2f3899&fccid=edae4285faf6c2f0&vjs=3,https://www.indeed.com/cmp/Boeing
12,newEntry Level Software Engineer,Reynolds and Reynolds,"Tallahassee, FL 32301+4 locations",,Full-time,"Auto Data Direct (ADD), a division of Reynolds and Reynolds that provides fast, accurate, real-time access to motor vehicle, vessel and driver license records,…",https://www.indeed.com/rc/clk?jk=58196c7460baf93c&fccid=a31bc978a05c527e&vjs=3,
13,Junior Software Engineer,GigaTECH,"Remote in Eastern, AS",,,"Collaborate with the CTO to establishing sandbox environments, test data, front end applications, Electronic Health Record (EHR) server-side components and…",https://www.indeed.com/rc/clk?jk=7670e2c077428129&fccid=69956ae2e52bef24&vjs=3,
14,Software Engineer (Muitiple Positions and Levels),Adobe,"San Jose, CA+22 locations",133400.0,Full-time,"Passionate about operational excellence and thrive to build robust and maintainable scalable software services.
What you need to succeed.",https://www.indeed.com/rc/clk?jk=1f698fff0640ee08&fccid=f89deb5a97c7738a&vjs=3,https://www.indeed.com/cmp/Adobe
15,newSoftware Engineer,PayPal,"Remote in Brunswick, GA 31520+72 locations",,Full-time,"Besides writing scalable and maintainable code, you will be challenged with building products that have an exceptional user and developer experience.",https://www.indeed.com/rc/clk?jk=df765b541803d04b&fccid=978d9fd9799d55a8&vjs=3,https://www.indeed.com/cmp/Paypal
16,newSoftware Engineer,Micron,"Boise, ID+14 locations",,,"Collecting requirements from customer requests.
Designing, developing, debugging, documenting, testing, and deploying applications.",https://www.indeed.com/rc/clk?jk=9bf640915ce3cfab&fccid=308e483c6c40c897&vjs=3,
